NEIGHBORHOOD,ADDRESS,ZIP_CODE,BUILDING_CLASS,SQUARE_FEET,SALE_PRICE, $/Sq. Ft,MARKET_VALUE,HIGH_END_MARKET
CHELSEA,150 WEST 15TH STREET,10011,A4,8997,"$14,999,999 ","$1,667 ","$14,999,999 ",0
CHELSEA,348 WEST 22 STREET,10011,A4,3042,"$13,500,000 ","$4,438 ","$13,500,000 ",0
CHELSEA,204 WEST 21ST STREET,10011,A4,3365,"$7,650,000 ","$2,273 ","$7,650,000 ",0
CHELSEA,481 WEST 22 STREET,10011,A4,3666,$0 ,$0 ,"$9,781,893 ",0
CHELSEA,344 W 22 STREET,10011,A4,4395,"$13,100,000 ","$2,981 ","$13,100,000 ",0
CHELSEA,304 WEST 18TH STREET,10011,A4,3363,"$4,775,000 ","$1,420 ","$4,775,000 ",0
CHELSEA,224 WEST 22ND STREET,10011,A9,6715,"$10,600,000 ","$1,579 ","$10,600,000 ",0
CHELSEA,217 WEST 20 STREET,10011,A9,7805,"$11,600,000 ","$1,486 ","$11,600,000 ",0
GRAMERCY,143 EAST 18 STREET,10003,A4,3360,"$6,400,000 ","$1,905 ","$6,400,000 ",0
GRAMERCY,135 EAST 18TH STREET,10003,A4,3192,"$3,850,000 ","$1,206 ","$3,850,000 ",0
GRAMERCY,128 EAST 19 STREET,10003,A4,6060,"$6,250,000 ","$1,031 ","$6,250,000 ",0
GRAMERCY,135 EAST 19 STREET,10003,A4,6798,"$7,400,000 ","$1,089 ","$7,400,000 ",0
GRAMERCY,144 EAST 19TH STREET,10003,A4,2429,"$3,800,000 ","$1,564 ","$3,800,000 ",0
GREENWICH VILLAGE,19 DOWNING STREET,10014,A4,3166,"$9,900,000 ","$3,127 ","$9,900,000 ",0
GREENWICH VILLAGE,244 WEST 12TH ST,10014,A4,3416,"$13,000,000 ","$3,806 ","$13,000,000 ",0
GREENWICH VILLAGE,77 BEDFORD STREET,10014,A4,2664,"$11,250,000 ","$4,223 ","$11,250,000 ",0
GREENWICH VILLAGE,36 LEROY STREET,10014,A4,1501,"$3,200,000 ","$2,132 ","$3,200,000 ",0
GREENWICH VILLAGE,370 WEST 11 STREET,10014,A4,4009,"$19,999,000 ","$4,989 ","$19,999,000 ",1
GREENWICH VILLAGE,399 WEST STREET,10014,A4,5498,$0 ,$0 ,"$22,255,567 ",1
GREENWICH VILLAGE,246 WEST 12TH STREET,10014,A4,4104,"$17,700,000 ","$4,313 ","$17,700,000 ",1
GREENWICH VILLAGE,230 WEST 11TH STREET,10014,A4,4400,"$19,999,900 ","$4,545 ","$19,999,900 ",1
GREENWICH VILLAGE,310 WEST 11 STREET,10014,A4,2520,"$9,600,000 ","$3,810 ","$9,600,000 ",0
GREENWICH VILLAGE,85 CHARLES STREET,10014,A4,3984,"$11,500,000 ","$2,887 ","$11,500,000 ",0
GREENWICH VILLAGE,262 WEST 12 STREET,10014,A4,3038,"$8,200,000 ","$2,699 ","$8,200,000 ",0
GREENWICH VILLAGE,256 WEST 4TH STREET,10014,A4,2280,"$6,850,000 ","$3,004 ","$6,850,000 ",0
GREENWICH VILLAGE,75 1/2 BEDFORD STREET,10014,A4,999,"$4,400,000 ","$4,404 ","$4,400,000 ",0
GREENWICH VILLAGE,63 CHARLES STREET,10014,A4,3840,"$33,350,000 ","$8,685 ","$33,350,000 ",1
GREENWICH VILLAGE,39 BARROW ST,10014,A9,2256,$0 ,$0 ,"$7,300,000 ",0
GREENWICH VILLAGE,39 BARROW STREET,10014,A9,2256,"$7,300,000 ","$3,236 ","$7,300,000 ",0
